!Note: First column is hrs from 12:00 UTC 21 Sep 2014; Second column is grain size class (micron); Third column is volumeric concentration (10**-2 ml/l) for each grain size class
     0.741     6.240    0.20702
     0.741     7.360    0.24818
     0.741     8.690    0.30307
     0.741    10.200    0.34005
     0.741    12.100    0.38120
     0.741    14.300    0.44174
     0.741    16.800    0.49296
     0.741    19.900    0.52851
     0.741    23.500    0.51578
     0.741    27.700    0.50814
     0.741    32.700    0.54170
     0.741    38.500    0.59017
     0.741    45.500    0.59657
     0.741    53.700    0.57428
     0.741    63.300    0.50614
     0.741    74.700    0.44146
     0.741    88.200    0.36617
     0.741   104.000    0.25557
     0.741   128.000    0.15356
     0.741   157.000    0.07887
     0.741   186.000    0.03122
     0.741   219.000    0.00840
     0.741   259.000    0.00000
     0.741   293.000    0.00000
     0.741   332.000    0.00000
     0.741   391.000    0.00000
     0.741   462.000    0.00000
     0.824     2.730    0.05890
     0.824     3.220    0.07206
     0.824     3.800    0.09664
     0.824     4.480    0.13501
     0.824     5.290    0.18512
     0.824     6.240    0.22896
     0.824     7.360    0.26971
     0.824     8.690    0.32786
     0.824    10.200    0.35880
     0.824    12.100    0.39455
     0.824    14.300    0.48293
     0.824    16.800    0.56998
     0.824    19.900    0.61331
     0.824    23.500    0.60038
     0.824    27.700    0.58080
     0.824    32.700    0.61856
     0.824    38.500    0.68290
     0.824    45.500    0.70523
     0.824    53.700    0.67530
     0.824    63.300    0.59427
     0.824    74.700    0.54545
     0.824    88.200    0.50380
     0.824   104.000    0.42670
     0.824   128.000    0.33648
     0.824   157.000    0.29743
     0.824   186.000    0.28173
     0.824   219.000    0.30998
     0.824   259.000    0.45631
     0.824   293.000    1.10070
     0.824   332.000    2.72629
     0.824   391.000    3.02066
     0.824   462.000    0.94705
     0.906     2.730    0.05513
     0.906     3.220    0.06668
     0.906     3.800    0.08806
     0.906     4.480    0.12025
     0.906     5.290    0.16013
     0.906     6.240    0.19026
     0.906     7.360    0.21726
     0.906     8.690    0.27036
     0.906    10.200    0.31652
     0.906    12.100    0.33482
     0.906    14.300    0.38708
     0.906    16.800    0.44016
     0.906    19.900    0.46412
     0.906    23.500    0.46853
